Image,Name,DMG,SPD,PWR,BDMG 0,BDMG 1,BDMG 2,BDMG 3,HDMG 0,HDMG 1,HDMG 2,HDMG 3,Spread Base,Aim Mod,ADS Mod,Fire Base,Crouch Mod,Prone Mod,Walk Mod,Run Mod,Jump Mod,Base,Base Aim,Base ADS,Recoil Gain,Recoil Gain Aim,Recoil Gain ADS,Max Limit,Move Modifier,Velocity Reference,Prone Mode,Vert Clamp,Vert Speed,Recovery Clamp,Recovery Max,Recovery Mod,HOR Speed,HOR Tendency,Left Max,Right Max,Recoil Speed,Recovery Speed,Pattern Scale,Value Climb,Value Fall,Sway Pitch,Sway Yaw,Sway Movement,DOF Range,DOF Near Range,DOF Power,Pickup Delay,Ready Delay
 ,AKM,49.0,715 m/s,10000.0,49,34.30,29.40,22,115.10,80.60,69,51.80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,AUG A3,43.0,940 m/s,9000.0,43,30.10,25.80,19.30,101,70.70,60.60,45.40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,AWM,105.0,945 m/s,40000.0,136.50,95.50,81.80,61.40,262.50,183.70,157.50,118.10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Beryl M762,47.0,715 m/s,10000.0,47,32.90,28.20,21.10,110.40,77.30,66.20,49.70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,C4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Crossbow,105.0,160 m/s,8000.0,104.70,73.30,62.80,47.10,241,168.70,144.60,108.40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,DP-28,51.0,715 m/s,10000.0,51,35.60,30.60,22.90,117.30,82.10,70.30,52.70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Deagle,62.0,450 m/s, ,62,43.40,37.10,27.90,124,86.80,74.30,55.80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Flare Gun, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Frag Grenade, , , ,?,?,?,?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,G36C,43.0,870 m/s, ,43,30.10,25.80,19.30,101,70.70,60.60,45.40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Groza,49.0,715 m/s,10000.0,49,34.30,29.40,22,115.10,80.60,69,51.80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Karabiner 98  Kurz,75.0,760 m/s,16000.0,97.50,68.20,58.50,43.80,187.50,131.20,112.50,84.30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,M16A4,43.0,900 m/s,8000.0,43,30.10,25.80,19.30,101,70.70,60.60,45.40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,M249,45.0,915 m/s,10000.0,45,31.40,27,20.20,103.40,72.40,62,46.50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,M416,43.0,880 m/s,3500.0,43,30.10,25.80,19.30,101,70.70,60.60,45.40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,MP5K,33.0, , ,33,23,19.80,14.80,59.40,41.50,35.60,26.70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Micro UZI,26.0,350 m/s,5000.0,26,18.20,15.60,11.70,46.80,32.70,28,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Mini 14,46.0,990 m/s,10000.0,48.30,33.80,28.90,21.70,108.10,75.60,64.80,48.60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Mk14 EBR,61.0,853 m/s,20000.0,64,44.80,38.40,28.80,143.30,100.30,86,64.50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Mk47 Mutant,49.0,780 m/s,10000.0,49,34.30,29.40,22,115.10,80.60,69,51.80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Molotov Cocktail, , , ,?,?,?,?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,P18C,23.0,375 m/s,7000.0,22.40,15.70,13.40,10.10,44.90,31.40,26.90,20.20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
